Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Make Appointment,Chrome 114.0.0.0,,,2023-07-13 08:13:43,2023-07-13 08:14:24,"40,785s",PASSED
,,,,,,,
Test Cases/Login,Chrome 114.0.0.0,,,2023-07-13 08:13:43,2023-07-13 08:14:08,"24,845s",PASSED
openBrowser(webUrl),Chrome 114.0.0.0,,,2023-07-13 08:13:44,2023-07-13 08:14:03,"19,551s",PASSED
"click(findTestObject(""Sidebar/toggle button""))",Chrome 114.0.0.0,,,2023-07-13 08:14:03,2023-07-13 08:14:04,"0,514s",PASSED
"click(findTestObject(""Sidebar/Login Page Button""))",Chrome 114.0.0.0,,,2023-07-13 08:14:04,2023-07-13 08:14:05,"1,292s",PASSED
"verifyTextPresent(""Please login to make appointment."", false)",Chrome 114.0.0.0,,,2023-07-13 08:14:05,2023-07-13 08:14:06,"0,343s",PASSED
"setText(findTestObject(""Login Page/input username""), ""John Doe"")",Chrome 114.0.0.0,,,2023-07-13 08:14:06,2023-07-13 08:14:06,"0,728s",PASSED
"setText(findTestObject(""Login Page/input password""), ""ThisIsNotAPassword"")",Chrome 114.0.0.0,,,2023-07-13 08:14:06,2023-07-13 08:14:07,"0,717s",PASSED
"click(findTestObject(""Login Page/Login Button""))",Chrome 114.0.0.0,,,2023-07-13 08:14:07,2023-07-13 08:14:08,"1,187s",PASSED
,,,,,,,
Test Cases/Make Appointment Page Object Validation,Chrome 114.0.0.0,,,2023-07-13 08:14:08,2023-07-13 08:14:13,"5,143s",PASSED
"verifyTextPresent(""Facility"", false)",Chrome 114.0.0.0,,,2023-07-13 08:14:09,2023-07-13 08:14:09,"0,304s",PASSED
"verifyElementVisible(findTestObject(""Appointment Page/Combo Facility""))",Chrome 114.0.0.0,,,2023-07-13 08:14:09,2023-07-13 08:14:09,"0,400s",PASSED
"verifyTextPresent(""Apply for hospital readmission"", false)",Chrome 114.0.0.0,,,2023-07-13 08:14:09,2023-07-13 08:14:10,"0,334s",PASSED
"verifyElementVisible(findTestObject(""Appointment Page/checkbox""))",Chrome 114.0.0.0,,,2023-07-13 08:14:10,2023-07-13 08:14:10,"0,407s",PASSED
"verifyTextPresent(""Healthcare Program"", false)",Chrome 114.0.0.0,,,2023-07-13 08:14:10,2023-07-13 08:14:10,"0,310s",PASSED
